animeID, name, title_english,title_japanese, type, source, producers, genre, studio, episodes, status, aired, duration, rating, related
1,Cowboy Bebop,Cowboy Bebop,,TV,Original,['Bandai Visual'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Sunrise'],26,Finished Airing,"{'from': '1998-04-03T00:00:00+00:00', 'to': '1999-04-24T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 4, 'year': 1998}, 'to': {'day': 24, 'month': 4, 'year': 1999}}, 'string': 'Apr 3, 1998 to Apr 24, 1999'}",24 min per ep,R - 17+ (violence & profanity),"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop'}, {'mal_id': 174, 'type': 'manga', 'name': 'Shooting Star Bebop: Cowboy Bebop', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'name': 'Cowboy Bebop: Tengoku no Tobira', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira'}, {'mal_id': 17205, 'type': 'anime', 'name': 'Cowboy Bebop: Ein no Natsuyasumi', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'name': 'Cowboy Bebop: Yose Atsume Blues', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues'}]}"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,,Movie,Original,"['Sunrise', 'Bandai Visual']","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",['Bones'],1,Finished Airing,"{'from': '2001-09-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Sep 1, 2001'}",1 hr 55 min,R - 17+ (violence & profanity),"{'Parent story': [{'mal_id': 1, 'type': 'anime', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop'}]}"
6,Trigun,Trigun,,TV,Manga,['Victor Entertainment'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Madhouse'],26,Finished Airing,"{'from': '1998-04-01T00:00:00+00:00', 'to': '1998-09-30T00:00:00+00:00', 'prop': {'from': {'day': 1, 'month': 4, 'year': 1998}, 'to': {'day': 30, 'month': 9, 'year': 1998}}, 'string': 'Apr 1, 1998 to Sep 30, 1998'}",24 min per ep,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 703, 'type': 'manga', 'name': 'Trigun', 'url': 'https://myanimelist.net/manga/703/Trigun'}], 'Side story': [{'mal_id': 4106, 'type': 'anime', 'name': 'Trigun: Badlands Rumble', 'url': 'https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble'}]}"
7,Witch Hunter Robin,Witch Hunter Robin,,TV,Original,['Bandai Visual'],"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",['Sunrise'],26,Finished Airing,"{'from': '2002-07-02T00:00:00+00:00', 'to': '2002-12-24T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 7, 'year': 2002}, 'to': {'day': 24, 'month': 12, 'year': 2002}}, 'string': 'Jul 2, 2002 to Dec 24, 2002'}",25 min per ep,PG-13 - Teens 13 or older,{}
18,Initial D Fourth Stage,,,TV,Manga,"['OB Planning', 'Studio Jack']","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",['A.C.G.T.'],24,Finished Airing,"{'from': '2004-04-17T00:00:00+00:00', 'to': '2006-02-18T00:00:00+00:00', 'prop': {'from': {'day': 17, 'month': 4, 'year': 2004}, 'to': {'day': 18, 'month': 2, 'year': 2006}}, 'string': 'Apr 17, 2004 to Feb 18, 2006'}",27 min per ep,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'name': 'Initial D', 'url': 'https://myanimelist.net/manga/375/Initial_D'}], 'Prequel': [{'mal_id': 187, 'type': 'anime', 'name': 'Initial D Third Stage', 'url': 'https://myanimelist.net/anime/187/Initial_D_Third_Stage'}], 'Summary': [{'mal_id': 3931, 'type': 'anime', 'name': 'Initial D Battle Stage 2', 'url': 'https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2'}], 'Side story': [{'mal_id': 5228, 'type': 'anime', 'name': 'Initial D Extra Stage 2', 'url': 'https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2'}], 'Sequel': [{'mal_id': 15059, 'type': 'anime', 'name': 'Initial D Fifth Stage', 'url': 'https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage'}]}"
20,Naruto,Naruto,,TV,Manga,"['TV Tokyo', 'Aniplex', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",['Studio Pierrot'],220,Finished Airing,"{'from': '2002-10-03T00:00:00+00:00', 'to': '2007-02-08T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 10, 'year': 2002}, 'to': {'day': 8, 'month': 2, 'year': 2007}}, 'string': 'Oct 3, 2002 to Feb 8, 2007'}",23 min per ep,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 11, 'type': 'manga', 'name': 'Naruto', 'url': 'https://myanimelist.net/manga/11/Naruto'}], 'Side story': [{'mal_id': 442, 'type': 'anime', 'name': 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'url': 'https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo'}, {'mal_id': 594, 'type': 'anime', 'name': 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!', 'url': 'https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo'}, {'mal_id': 761, 'type': 'anime', 'name': 'Naruto: Akaki Yotsuba no Clover wo Sagase', 'url': 'https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase'}, {'mal_id': 936, 'type': 'anime', 'name': 'Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!', 'url': 'https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo'}, {'mal_id': 1074, 'type': 'anime', 'name': 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!', 'url': 'https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_taikai_Kaisai'}, {'mal_id': 2144, 'type': 'anime', 'name': 'Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!', 'url': 'https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo'}, {'mal_id': 7367, 'type': 'anime', 'name': 'Naruto: The Cross Roads', 'url': 'https://myanimelist.net/anime/7367/Naruto__The_Cross_Roads'}], 'Sequel': [{'mal_id': 1735, 'type': 'anime', 'name': 'Naruto: Shippuuden', 'url': 'https://myanimelist.net/anime/1735/Naruto__Shippuuden'}]}"
21,One Piece,One Piece,,TV,Manga,"['Fuji TV', 'TAP', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",['Toei Animation'],,Currently Airing,"{'from': '1999-10-20T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 20, 'month': 10, 'year': 1999}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Oct 20, 1999 to ?'}",24 min,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 13, 'type': 'manga', 'name': 'One Piece', 'url': 'https://myanimelist.net/manga/13/One_Piece'}, {'mal_id': 94534, 'type': 'manga', 'name': 'One Piece: Loguetown-hen', 'url': 'https://myanimelist.net/manga/94534/One_Piece__Loguetown-hen'}], 'Side story': [{'mal_id': 459, 'type': 'anime', 'name': 'One Piece Movie 1', 'url': 'https://myanimelist.net/anime/459/One_Piece_Movie_1'}, {'mal_id': 460, 'type': 'anime', 'name': 'One Piece Movie 2: Nejimaki-jima no Daibouken', 'url': 'https://myanimelist.net/anime/460/One_Piece_Movie_2__Nejimaki-jima_no_Daibouken'}, {'mal_id': 461, 'type': 'anime', 'name': 'One Piece Movie 3: Chinjuu-jima no Chopper Oukoku', 'url': 'https://myanimelist.net/anime/461/One_Piece_Movie_3__Chinjuu-jima_no_Chopper_Oukoku'}, {'mal_id': 462, 'type': 'anime', 'name': 'One Piece Movie 4: Dead End no Bouken', 'url': 'https://myanimelist.net/anime/462/One_Piece_Movie_4__Dead_End_no_Bouken'}, {'mal_id': 463, 'type': 'anime', 'name': 'One Piece Movie 5: Norowareta Seiken', 'url': 'https://myanimelist.net/anime/463/One_Piece_Movie_5__Norowareta_Seiken'}, {'mal_id': 464, 'type': 'anime', 'name': 'One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima', 'url': 'https://myanimelist.net/anime/464/One_Piece_Movie_6__Omatsuri_Danshaku_to_Himitsu_no_Shima'}, {'mal_id': 465, 'type': 'anime', 'name': 'One Piece Movie 7: Karakuri-jou no Mecha Kyohei', 'url': 'https://myanimelist.net/anime/465/One_Piece_Movie_7__Karakuri-jou_no_Mecha_Kyohei'}, {'mal_id': 466, 'type': 'anime', 'name': 'One Piece: Taose! Kaizoku Ganzack', 'url': 'https://myanimelist.net/anime/466/One_Piece__Taose_Kaizoku_Ganzack'}, {'mal_id': 1094, 'type': 'anime', 'name': 'One Piece: Umi no Heso no Daibouken-hen', 'url': 'https://myanimelist.net/anime/1094/One_Piece__Umi_no_Heso_no_Daibouken-hen'}, {'mal_id': 1237, 'type': 'anime', 'name': 'One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!', 'url': 'https://myanimelist.net/anime/1237/One_Piece__Oounabara_ni_Hirake_Dekkai_Dekkai_Chichi_no_Yume'}, {'mal_id': 1238, 'type': 'anime', 'name': 'One Piece: Mamore! Saigo no Dai Butai', 'url': 'https://myanimelist.net/anime/1238/One_Piece__Mamore_Saigo_no_Dai_Butai'}, {'mal_id': 2020, 'type': 'anime', 'name': 'One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou', 'url': 'https://myanimelist.net/anime/2020/One_Piece__Nenmatsu_Tokubetsu_Kikaku_Mugiwara_no_Luffy_Oyabun_Torimonochou'}, {'mal_id': 2385, 'type': 'anime', 'name': 'One Piece: Jango no Dance Carnival', 'url': 'https://myanimelist.net/anime/2385/One_Piece__Jango_no_Dance_Carnival'}, {'mal_id': 2386, 'type': 'anime', 'name': 'One Piece: Yume no Soccer Ou!', 'url': 'https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou'}, {'mal_id': 2490, 'type': 'anime', 'name': 'One Piece: Mezase! Kaizoku Yakyuu Ou', 'url': 'https://myanimelist.net/anime/2490/One_Piece__Mezase_Kaizoku_Yakyuu_Ou'}, {'mal_id': 2680, 'type': 'anime', 'name': 'One Piece: Straw Hat Theater', 'url': 'https://myanimelist.net/anime/2680/One_Piece__Straw_Hat_Theater'}, {'mal_id': 4155, 'type': 'anime', 'name': 'One Piece Film: Strong World', 'url': 'https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World'}, {'mal_id': 5252, 'type': 'anime', 'name': 'One Piece: Romance Dawn Story', 'url': 'https://myanimelist.net/anime/5252/One_Piece__Romance_Dawn_Story'}, {'mal_id': 8740, 'type': 'anime', 'name': 'One Piece Film: Strong World Episode 0', 'url': 'https://myanimelist.net/anime/8740/One_Piece_Film__Strong_World_Episode_0'}, {'mal_id': 9999, 'type': 'anime', 'name': 'One Piece 3D: Mugiwara Chase', 'url': 'https://myanimelist.net/anime/9999/One_Piece_3D__Mugiwara_Chase'}, {'mal_id': 12001, 'type': 'anime', 'name': 'One Piece 3D: Gekisou! Trap Coaster', 'url': 'https://myanimelist.net/anime/12001/One_Piece_3D__Gekisou_Trap_Coaster'}, {'mal_id': 12859, 'type': 'anime', 'name': 'One Piece Film: Z', 'url': 'https://myanimelist.net/anime/12859/One_Piece_Film__Z'}, {'mal_id': 16239, 'type': 'anime', 'name': 'One Piece: Episode of Luffy - Hand Island no Bouken', 'url': 'https://myanimelist.net/anime/16239/One_Piece__Episode_of_Luffy_-_Hand_Island_no_Bouken'}, {'mal_id': 16287, 'type': 'anime', 'name': 'One Piece: Romance Dawn', 'url': 'https://myanimelist.net/anime/16287/One_Piece__Romance_Dawn'}, {'mal_id': 16468, 'type': 'anime', 'name': 'One Piece: Glorious Island', 'url': 'https://myanimelist.net/anime/16468/One_Piece__Glorious_Island'}, {'mal_id': 25161, 'type': 'anime', 'name': 'One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai', 'url': 'https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai'}, {'mal_id': 31490, 'type': 'anime', 'name': 'One Piece Film: Gold', 'url': 'https://myanimelist.net/anime/31490/One_Piece_Film__Gold'}, {'mal_id': 32051, 'type': 'anime', 'name': 'One Piece: Adventure of Nebulandia', 'url': 'https://myanimelist.net/anime/32051/One_Piece__Adventure_of_Nebulandia'}, {'mal_id': 38234, 'type': 'anime', 'name': 'One Piece Movie 14: Stampede', 'url': 'https://myanimelist.net/anime/38234/One_Piece_Movie_14__Stampede'}], 'Character': [{'mal_id': 813, 'type': 'anime', 'name': 'Dragon Ball Z', 'url': 'https://myanimelist.net/anime/813/Dragon_Ball_Z'}, {'mal_id': 10033, 'type': 'anime', 'name': 'Toriko', 'url': 'https://myanimelist.net/anime/10033/Toriko'}, {'mal_id': 23933, 'type': 'anime', 'name': 'Kyutai Panic Adventure!', 'url': 'https://myanimelist.net/anime/23933/Kyutai_Panic_Adventure'}, {'mal_id': 23935, 'type': 'anime', 'name': 'Kyutai Panic Adventure Returns!', 'url': 'https://myanimelist.net/anime/23935/Kyutai_Panic_Adventure_Returns'}], 'Summary': [{'mal_id': 2107, 'type': 'anime', 'name': 'One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi', 'url': 'https://myanimelist.net/anime/2107/One_Piece_Movie_8__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi'}, {'mal_id': 8171, 'type': 'anime', 'name': 'One Piece Recap', 'url': 'https://myanimelist.net/anime/8171/One_Piece_Recap'}, {'mal_id': 15323, 'type': 'anime', 'name': 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna', 'url': 'https://myanimelist.net/anime/15323/One_Piece__Episode_of_Nami_-_Koukaishi_no_Namida_to_Nakama_no_Kizuna'}, {'mal_id': 16143, 'type': 'anime', 'name': 'One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou', 'url': 'https://myanimelist.net/anime/16143/One_Piece__Kinkyuu_Kikaku_One_Piece_Kanzen_Kouryakuhou'}, {'mal_id': 19123, 'type': 'anime', 'name': 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari', 'url': 'https://myanimelist.net/anime/19123/One_Piece__Episode_of_Merry_-_Mou_Hitori_no_Nakama_no_Monogatari'}, {'mal_id': 31289, 'type': 'anime', 'name': 'One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi', 'url': 'https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi'}, {'mal_id': 32437, 'type': 'anime', 'name': 'One Piece: Long Ring Long Land-hen', 'url': 'https://myanimelist.net/anime/32437/One_Piece__Long_Ring_Long_Land-hen'}, {'mal_id': 36215, 'type': 'anime', 'name': 'One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken', 'url': 'https://myanimelist.net/anime/36215/One_Piece__Episode_of_East_Blue_-_Luffy_to_4-nin_no_Nakama_no_Daibouken'}, {'mal_id': 37902, 'type': 'anime', 'name': 'One Piece: Episode of Sorajima', 'url': 'https://myanimelist.net/anime/37902/One_Piece__Episode_of_Sorajima'}], 'Alternative version': [{'mal_id': 3848, 'type': 'anime', 'name': 'One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura', 'url': 'https://myanimelist.net/anime/3848/One_Piece_Movie_9__Episode_of_Chopper_Plus_-_Fuyu_ni_Saku_Kiseki_no_Sakura'}], 'Other': [{'mal_id': 34165, 'type': 'anime', 'name': 'Oishi-sa Hajikeru! One Piece', 'url': 'https://myanimelist.net/anime/34165/Oishi-sa_Hajikeru_One_Piece'}, {'mal_id': 36239, 'type': 'anime', 'name': 'Sono Me ga Mitsumeru Mono', 'url': 'https://myanimelist.net/anime/36239/Sono_Me_ga_Mitsumeru_Mono'}]}"
22,Tennis no Ouji-sama,The Prince of Tennis,,TV,Manga,"['Production I.G', 'Nihon Ad Systems']","['Action', 'Comedy', 'Sports', 'School', 'Shounen']",['Trans Arts'],178,Finished Airing,"{'from': '2001-10-10T00:00:00+00:00', 'to': '2005-03-23T00:00:00+00:00', 'prop': {'from': {'day': 10, 'month': 10, 'year': 2001}, 'to': {'day': 23, 'month': 3, 'year': 2005}}, 'string': 'Oct 10, 2001 to Mar 23, 2005'}",22 min per ep,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 49, 'type': 'manga', 'name': 'Tennis no Ouji-sama', 'url': 'https://myanimelist.net/manga/49/Tennis_no_Ouji-sama'}], 'Side story': [{'mal_id': 814, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri', 'url': 'https://myanimelist.net/anime/814/Tennis_no_Ouji-sama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri'}, {'mal_id': 815, 'type': 'anime', 'name': 'Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game', 'url': 'https://myanimelist.net/anime/815/Tennis_no_Ouji-sama_Movie_1__Futari_no_Samurai_-_The_First_Game'}, {'mal_id': 1190, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Sonzoku Yama no Hi', 'url': 'https://myanimelist.net/anime/1190/Tennis_no_Ouji-sama__Sonzoku_Yama_no_Hi'}, {'mal_id': 5996, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Oshougatsu Special', 'url': 'https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special'}, {'mal_id': 10731, 'type': 'anime', 'name': 'Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!', 'url': 'https://myanimelist.net/anime/10731/Tennis_no_Ouji-sama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen'}, {'mal_id': 10862, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Pair Prince', 'url': 'https://myanimelist.net/anime/10862/Tennis_no_Ouji-sama__Pair_Prince'}, {'mal_id': 29697, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Message in a Bottle', 'url': 'https://myanimelist.net/anime/29697/Tennis_no_Ouji-sama__Message_in_a_Bottle'}], 'Sequel': [{'mal_id': 995, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Zenkoku Taikai-hen', 'url': 'https://myanimelist.net/anime/995/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen'}], 'Other': [{'mal_id': 6749, 'type': 'anime', 'name': 'Tennis no Ouji-sama: The Band of Princes Film Kick the Future', 'url': 'https://myanimelist.net/anime/6749/Tennis_no_Ouji-sama__The_Band_of_Princes_Film_Kick_the_Future'}, {'mal_id': 10276, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Mini Theater', 'url': 'https://myanimelist.net/anime/10276/Tennis_no_Ouji-sama__Mini_Theater'}], 'Alternative version': [{'mal_id': 36952, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Best Games!!', 'url': 'https://myanimelist.net/anime/36952/Tennis_no_Ouji-sama__Best_Games'}]}"
25,Sunabouzu,Desert Punk,,TV,Manga,"['GDH', 'Pony Canyon', 'CBC']","['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",['Gonzo'],24,Finished Airing,"{'from': '2004-10-06T00:00:00+00:00', 'to': '2005-03-30T00:00:00+00:00', 'prop': {'from': {'day': 6, 'month': 10, 'year': 2004}, 'to': {'day': 30, 'month': 3, 'year': 2005}}, 'string': 'Oct 6, 2004 to Mar 30, 2005'}",24 min per ep,R - 17+ (violence & profanity),"{'Adaptation': [{'mal_id': 10016, 'type': 'manga', 'name': 'Sunabouzu', 'url': 'https://myanimelist.net/manga/10016/Sunabouzu'}]}"
27,Trinity Blood,Trinity Blood,,TV,Light novel,[],"['Action', 'Supernatural', 'Vampire']",['Gonzo'],24,Finished Airing,"{'from': '2005-04-29T00:00:00+00:00', 'to': '2005-10-28T00:00:00+00:00', 'prop': {'from': {'day': 29, 'month': 4, 'year': 2005}, 'to': {'day': 28, 'month': 10, 'year': 2005}}, 'string': 'Apr 29, 2005 to Oct 28, 2005'}",24 min per ep,R - 17+ (violence & profanity),"{'Adaptation': [{'mal_id': 557, 'type': 'manga', 'name': 'Trinity Blood: Rage Against the Moons', 'url': 'https://myanimelist.net/manga/557/Trinity_Blood__Rage_Against_the_Moons'}, {'mal_id': 114227, 'type': 'manga', 'name': 'Trinity Blood: Reborn on the Mars', 'url': 'https://myanimelist.net/manga/114227/Trinity_Blood__Reborn_on_the_Mars'}]}"
30,Neon Genesis Evangelion,Neon Genesis Evangelion,,TV,Original,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'Tatsunoko Production']",26,Finished Airing,"{'from': '1995-10-04T00:00:00+00:00', 'to': '1996-03-27T00:00:00+00:00', 'prop': {'from': {'day': 4, 'month': 10, 'year': 1995}, 'to': {'day': 27, 'month': 3, 'year': 1996}}, 'string': 'Oct 4, 1995 to Mar 27, 1996'}",24 min per ep,PG-13 - Teens 13 or older,"{'Adaptation': [{'mal_id': 698, 'type': 'manga', 'name': 'Neon Genesis Evangelion', 'url': 'https://myanimelist.net/manga/698/Neon_Genesis_Evangelion'}], 'Summary': [{'mal_id': 31, 'type': 'anime', 'name': 'Neon Genesis Evangelion: Death & Rebirth', 'url': 'https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth'}], 'Sequel': [{'mal_id': 32, 'type': 'anime', 'name': 'Neon Genesis Evangelion: The End of Evangelion', 'url': 'https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion'}], 'Alternative version': [{'mal_id': 2759, 'type': 'anime', 'name': 'Evangelion: 1.0 You Are (Not) Alone', 'url': 'https://myanimelist.net/anime/2759/Evangelion__10_You_Are_Not_Alone'}, {'mal_id': 3784, 'type': 'anime', 'name': 'Evangelion: 2.0 You Can (Not) Advance', 'url': 'https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance'}, {'mal_id': 3785, 'type': 'anime', 'name': 'Evangelion: 3.0 You Can (Not) Redo', 'url': 'https://myanimelist.net/anime/3785/Evangelion__30_You_Can_Not_Redo'}, {'mal_id': 3786, 'type': 'anime', 'name': 'Evangelion: 3.0+1.0', 'url': 'https://myanimelist.net/anime/3786/Evangelion__30_10'}], 'Spin-off': [{'mal_id': 4130, 'type': 'anime', 'name': 'Petit Eva: Evangelion@School', 'url': 'https://myanimelist.net/anime/4130/Petit_Eva__EvangelionSchool'}], 'Other': [{'mal_id': 23023, 'type': 'anime', 'name': 'Peaceful Times (F02) Petit Film', 'url': 'https://myanimelist.net/anime/23023/Peaceful_Times_F02_Petit_Film'}, {'mal_id': 28149, 'type': 'anime', 'name': 'Nihon Animator Mihonichi', 'url': 'https://myanimelist.net/anime/28149/Nihon_Animator_Mihonichi'}, {'mal_id': 38055, 'type': 'anime', 'name': 'Evangelion: Another Impact (VR)', 'url': 'https://myanimelist.net/anime/38055/Evangelion__Another_Impact_VR'}]}"
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,,Movie,Original,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'Production I.G']",1,Finished Airing,"{'from': '1997-03-15T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Mar 15, 1997'}",1 hr 41 min,R - 17+ (violence & profanity),"{'Parent story': [{'mal_id': 30, 'type': 'anime', 'name': 'Neon Genesis Evangelion', 'url': 'https://myanimelist.net/anime/30/Neon_Genesis_Evangelion'}]}"
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,,Movie,Original,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['Gainax', 'Production I.G']",1,Finished Airing,"{'from': '1997-07-19T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Jul 19, 1997'}",1 hr 27 min,R+ - Mild Nudity,"{'Prequel': [{'mal_id': 30, 'type': 'anime', 'name': 'Neon Genesis Evangelion', 'url': 'https://myanimelist.net/anime/30/Neon_Genesis_Evangelion'}]}"
33,Kenpuu Denki Berserk,Berserk,,TV,Manga,"['VAP', 'Hakusensha', 'Nippon Television Network']","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",['OLM'],25,Finished Airing,"{'from': '1997-10-08T00:00:00+00:00', 'to': '1998-04-01T00:00:00+00:00', 'prop': {'from': {'day': 8, 'month': 10, 'year': 1997}, 'to': {'day': 1, 'month': 4, 'year': 1998}}, 'string': 'Oct 8, 1997 to Apr 1, 1998'}",25 min per ep,R+ - Mild Nudity,"{'Adaptation': [{'mal_id': 2, 'type': 'manga', 'name': 'Berserk', 'url': 'https://myanimelist.net/manga/2/Berserk'}], 'Alternative version': [{'mal_id': 10218, 'type': 'anime', 'name': 'Berserk: Ougon Jidai-hen I - Haou no Tamago', 'url': 'https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago'}, {'mal_id': 12113, 'type': 'anime', 'name': 'Berserk: Ougon Jidai-hen II - Doldrey Kouryaku', 'url': 'https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku'}, {'mal_id': 12115, 'type': 'anime', 'name': 'Berserk: Ougon Jidai-hen III - Kourin', 'url': 'https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin'}], 'Sequel': [{'mal_id': 32379, 'type': 'anime', 'name': 'Berserk', 'url': 'https://myanimelist.net/anime/32379/Berserk'}]}"
